Project	Revision(prev)	Revision(cur)	Added	Deleted	File
activemq	activemq-5.2.0	activemq-5.3.0	149	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ConnectionControlMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	134	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ConnectionErrorMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	129	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ConnectionIdMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	186	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ConnectionInfoMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	153	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ConsumerControlMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	139	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ConsumerIdMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	255	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ConsumerInfoMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	129	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ControlCommandMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	151	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/DataArrayResponseMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	129	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/DataResponseMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	170	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/DestinationInfoMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	134	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/DiscoveryEventMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	129	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ExceptionResponseMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	114	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/FlushCommandMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	128	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/IntegerResponseMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	134	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/JournalQueueAckMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	154	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/JournalTopicAckMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	129	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/JournalTraceMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	138	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/JournalTransactionMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	114	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/KeepAliveInfoMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	114	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/LastPartialCommandMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	134	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/LocalTransactionIdMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	109	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/MarshallerFactory.java
activemq	activemq-5.2.0	activemq-5.3.0	157	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/MessageAckMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	143	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/MessageDispatchMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	144	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/MessageDispatchNotificationMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	139	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/MessageIdMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	311	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/MessageMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	149	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/MessagePullMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	133	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/NetworkBridgeFilterMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	133	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/PartialCommandMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	133	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ProducerAckMarshaller.java
activemq	activemq-5.2.0	activemq-5.3.0	139	0	activemq-core/src/main/java/org/apache/activemq/openwire/v4/ProducerIdMarshaller.java
